"Full_Address","latitude","longitude"
"101 KUHLMAN DR, CRYSTAL SPRINGS, MS 39059",31.988804,-90.35625
"8735 HAMILTON RD, SOUTHAVEN, MS 38671",34.9901452,-89.9991534
"70 INDUSTRIAL PARK ACCESS RD, COLUMBUS, MS 39701",33.4758899,-88.4391463
"103 LOWRY DR, BYHALIA, MS 38611",34.8707885,-89.6714919
"1995 AIR IND US TRIAL PARK RD, GRENADA, MS 38901",NA,NA
"1995 AIR INDUSTRIAL PARK RD, GRENADA, MS 38901",33.8242907,-89.7924296
"140 MATTHEWS DR, SENATOBIA, MS 38668",34.6131092,-89.9902155
"108 LIPFORD AVE, TUPELO, MS 38801",NA,NA
"1080 FENDER TRL NE, BROOKHAVEN, MS 39601",31.6082534,-90.4179871
"217 ANDREW JACKSON CIR, STAR, MS 39167",32.0990187,-90.0506611
"1226 RIALTO RD, YAZOO CITY, MS 39194",32.8397063,-90.4369697
"1226 RIALTO RD -, YAZOO CITY, MS 39194",32.8397063,-90.4369697
"11470 SARACENNIA RD, MOSS POINT, MS 39562",30.4610958,-88.5239186
"10646 HIGHWAY 51, OAKLAND, MS 38948",NA,NA
"4374 NASHVILLE FERRY RD E, COLUMBUS, MS 39702",33.472998,-88.3984625
"30 NEIL GUNN DR, ELLISVILLE, MS 39437",NA,NA
"3303 PORT & HARBOR DR, BAY SAINT LOUIS, MS 39520",NA,NA
"101 ALUMA-FORM WAY, WALNUT, MS 38683",NA,NA
"14373 SEAWAY RD, GULFPORT, MS 39503",30.4336453,-89.0810467
"RT 1 SUNFLOWER RD, ITTA BENA, MS 38941",33.498886,-90.324744
"274 EVANSTON RD, LUCEDALE, MS 39452",30.9152738,-88.555563
"220 65TH AVE, MERIDIAN, MS 39304",32.356043,-88.744458
"631 HAWKES RD, LAUREL, MS 39443",31.7291217,-89.1028497
"525 WAYNE DRIVE, LAUREL, MS 39440",NA,NA
"GEORGIA-PACIFIC NO 1 ST, GLOSTER, MS 39638",31.1871791,-91.0288301
"1725 NORTH WASHINGTON STREET, VICKSBURG, MS 39183",32.3757381,-90.8707746
"2559 HARBOR FRONT RD, GREENVILLE, MS 38701",NA,NA
"2902 METER RD, JACKSON, MS 39212",32.267166,-90.206129
"2785 SELLERS DR, MERIDIAN, MS 39301",NA,NA
"98 PEARCE RD, MOUNT OLIVE, MS 39119",31.751456,-89.658738
"462 LAKE NORRIS RD, COLUMBUS, MS 39701",33.4789581,-88.4140037
"2700 HIGHWAY 72 E, GLEN, MS 38846",34.8604872,-88.403839
